websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1023,SI-1023,,SI-1023,Master,SI-1023,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1023_web.jpg,536.91,Roll,1,3,Textural,Brown,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1024,SI-1024,,SI-1024,Master,SI-1024,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1024_web.jpg,444.53,Roll,1,3,Textural,Brown,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1025,SI-1025,,SI-1025,Master,SI-1025,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1025_web.jpg,444.53,Roll,1,3,Textural,Red,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1026,SI-1026,,SI-1026,Master,SI-1026,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1026_web.jpg,426.74,Roll,1,3,Textural,Pink,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1027,SI-1027,,SI-1027,Master,SI-1027,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1027_web.jpg,426.74,Roll,1,3,Textural,Cream,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1028,SI-1028,,SI-1028,Master,SI-1028,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1028_web.jpg,459.27,Roll,1,3,Textural,White,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1029,SI-1029,,SI-1029,Master,SI-1029,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1029_web.jpg,459.27,Roll,1,3,Textural,White,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1030,SI-1030,,SI-1030,Master,SI-1030,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1030_web.jpg,367.48,Roll,1,3,Textural,Off-White,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1031,SI-1031,,SI-1031,Master,SI-1031,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1031_web.jpg,367.48,Roll,1,3,Textural,Blue,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1032,SI-1032,,SI-1032,Master,SI-1032,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1032_web.jpg,367.48,Roll,1,3,Textural,Blue,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1033,SI-1033,,SI-1033,Master,SI-1033,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1033_web.jpg,367.48,Roll,1,3,Textural,Blue,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1034,SI-1034,,SI-1034,Master,SI-1034,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1034_web.jpg,367.48,Roll,1,3,Textural,Grey,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1035,SI-1035,,SI-1035,Master,SI-1035,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1035_web.jpg,367.48,Roll,1,3,Textural,Blue,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
