websites,vendor,product_category,product_type,collection,design_name,design_sku,design_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
A,Omni,Specialty,Metallic,Decadent,DE518,DE518,,DE518,Master,DE518,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE518.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE516,DE516,,DE516,Master,DE516,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE516.jpg,34.05,Yard,1,10,"Texural, Contemporary",White,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Textured,Decadent,DE504,DE504,,DE504,Master,DE504,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE504.jpg,34.05,Yard,1,10,"Texural, Contemporary",Black,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE503,DE503,,DE503,Master,DE503,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE503.jpg,34.05,Yard,1,10,"Texural, Contemporary",Bronze,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Textured,Decadent,DE506,DE506,,DE506,Master,DE506,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE506.jpg,34.05,Yard,1,10,"Texural, Contemporary",Red,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE507,DE507,,DE507,Master,DE507,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE507.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE501,DE501,,DE501,Master,DE501,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE501.jpg,34.05,Yard,1,10,"Texural, Contemporary",Gold,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE502,DE502,,DE502,Master,DE502,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE502.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Textured,Decadent,DE505,DE505,,DE505,Master,DE505,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE505.jpg,34.05,Yard,1,10,"Texural, Contemporary",White,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE541,DE541,,DE541,Master,DE541,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE541.jpg,34.05,Yard,1,10,"Texural, Contemporary",Gold,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE540,DE540,,DE540,Master,DE540,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE540.jpg,34.05,Yard,1,10,"Texural, Contemporary",Bronze,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE542,DE542,,DE542,Master,DE542,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE542.jpg,34.05,Yard,1,10,"Texural, Contemporary",Chrome,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE539,DE539,,DE539,Master,DE539,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE539.jpg,34.05,Yard,1,10,"Texural, Contemporary",Gold,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE543,DE543,,DE543,Master,DE543,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE543.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
A,Omni,Specialty,Metallic,Decadent,DE538,DE538,,DE538,Master,DE538,,"metallic, shine, shiny, mylar, foil, faux leather, embossed, emboss",https://www.astekwallcovering.com/sites/default/files/DE538.jpg,34.05,Yard,1,10,"Texural, Contemporary",Silver,,Vinyl,54,50,,,,,,,26,,,,,Class A,,,No
