websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW821,WW821,,WW821,Master,WW821,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW821_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW822,WW822,,WW822,Master,WW822,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW822_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW823,WW823,,WW823,Master,WW823,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW823_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW824,WW824,,WW824,Master,WW824,,"wood, woodgrain, faux, veneer, wood plank",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW824_web.jpg,25.65,Yard,1,4,Faux Finish,Grey,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW825,WW825,,WW825,Master,WW825,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW825_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW826,WW826,,WW826,Master,WW826,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW826_web.jpg,36.85,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW827,WW827,,WW827,Master,WW827,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW827_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW828,WW828,,WW828,Master,WW828,,"wood, woodgrain, faux, veneer, wood plank",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW828_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW829,WW829,,WW829,Master,WW829,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW829_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW830,WW830,,WW830,Master,WW830,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW830_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW831,WW831,,WW831,Master,WW831,,"wood, woodgrain, faux, veneer, wood plank",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW831_web.jpg,25.65,Yard,1,4,Faux Finish,"Beige, Brown",,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW832,WW832,,WW832,Master,WW832,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW832_web.jpg,25.65,Yard,1,4,Faux Finish,"Neutral, ",,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW833,WW833,,WW833,Master,WW833,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW833_web.jpg,25.65,Yard,1,4,Faux Finish,Grey,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW834,WW834,,WW834,Master,WW834,,"wood, woodgrain, faux, veneer, wood plank",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW834_web.jpg,25.65,Yard,1,4,Faux Finish,"Neutral, ",,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW835,WW835,,WW835,Master,WW835,,"wood, woodgrain, faux, veneer, wood plank",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW835_web.jpg,25.65,Yard,1,4,Faux Finish,Grey,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW836,WW836,,WW836,Master,WW836,,"weave, woven, fiber, texile, basket, basketweave",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW836_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW837,WW837,,WW837,Master,WW837,,"weave, woven, fiber, texile, basket, basketweave",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW837_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
