websites,vendor,product_category,product_type,collection,design_name,design_sku,design_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41024,E41024,,E41024,Master,E41024,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41024_web.jpg,155.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41025,E41025,,E41025,Master,E41025,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41025_web.jpg,155.98,Roll,1,1,Textural,Neutral,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41026,E41026,,E41026,Master,E41026,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41026_web.jpg,155.98,Roll,1,1,Textural,Orange,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41033,E41033,,E41033,Master,E41033,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41033_web.jpg,155.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41036,E41036,,E41036,Master,E41036,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41036_web.jpg,155.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41037,E41037,,E41037,Master,E41037,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41037_web.jpg,155.98,Roll,1,1,Textural,Orange,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41038,E41038,,E41038,Master,E41038,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41038_web.jpg,155.98,Roll,1,1,Textural,Orange,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41039,E41039,,E41039,Master,E41039,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41039_web.jpg,155.98,Roll,1,1,Textural,Neutral,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41040,E41040,,E41040,Master,E41040,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41040_web.jpg,155.98,Roll,1,1,Textural,Orange,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E4134,E4134,,E4134,Master,E4134,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E4134_web.jpg,155.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
