websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Digital Library,Venetian Marble,AD139,Gyre,Color Way,AD139-2,,"marble, marbled, marbling, italian",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD139-2_Venetian_Marble_GYRE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD139-2_Venetian_Marble_GYRE_install.jpg,6.50,Square Foot,1,1,Contemporary,Multi,Matte Vinyl,,,,,,,,19.9,25,Straight,39.7,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Venetian Marble,AD139,Whirl,Color Way,AD139-3,,"marble, marbled, marbling, italian",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD139-3_Venetian_Marble_WHIRL.jpg,,6.50,Square Foot,1,1,Contemporary,Pink,Matte Vinyl,,,,,,,,19.9,25,Straight,39.7,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Japanese Maple,AD153,Moody,Color Way,AD153-1,,"nature, tree, leaves",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD153-1_Japanese_Maple_MOODY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD153-1_Japanese_Maple_MOODY_install.jpg,6.50,Square Foot,1,1,Botanical,Purple,Matte Vinyl,,,,,,,,52,42.3,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Japanese Maple,AD153,Fickle,Color Way,AD153-2,,"nature, tree, leaves",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD153-2_Japanese_Maple_FICKLE.jpg,,6.50,Square Foot,1,1,Botanical,Green,Matte Vinyl,,,,,,,,52,42.3,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Japanese Maple,AD153,Flighty,Color Way,AD153-3,,"nature, tree, leaves",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD153-3_Japanese_Maple_FLIGHTY.jpg,,6.50,Square Foot,1,1,Botanical,Purple,Matte Vinyl,,,,,,,,52,42.3,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Watercolor Bouquet,AD154,Array,Color Way,AD154-1,,"flower, floral, bud, leaf, watercolor",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD154-1_Watercolor_Bouquet_ARRAY.jpg,,6.50,Square Foot,1,1,Botanical,Pink,Matte Vinyl,,,,,,,,52.5,27,Straight,52.5,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Watercolor Bouquet,AD154,Cluster,Color Way,AD154-2,,"flower, floral, bud, leaf, watercolor",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD154-2_Watercolor_Bouquet_CLUSTER.jpg,,6.50,Square Foot,1,1,Botanical,"Red, Cream",Matte Vinyl,,,,,,,,52.5,27,Straight,52.5,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Watercolor Bouquet,AD154,Bundle,Color Way,AD154-3,,"flower, floral, bud, leaf, watercolor",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD154-3_Watercolor_Bouquet_BUNDLE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD154-3_Watercolor_Bouquet_BUNDLE_install.jpg,6.50,Square Foot,1,1,Botanical,Purple,Matte Vinyl,,,,,,,,52.5,27,Straight,52.5,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Mystic Magnolia,AD159,Adobe,Color Way,AD159-1,,"flower, flora, floral, contour, simple",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD159-1_Mystic_Magnolia_ADOBE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD159-1_Mystic_Magnolia_ABODE_install.jpg,6.50,Square Foot,1,1,Botanical,Black,Matte Vinyl,,,,,,,,26,20,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Mystic Magnolia,AD159,Dwell,Color Way,AD159-2,,"flower, flora, floral, contour, simple",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD159-2_Mystic_Magnolia_DWELL.jpg,,6.50,Square Foot,1,1,Botanical,Blue,Matte Vinyl,,,,,,,,26,20,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Digital Library,Mystic Magnolia,AD159,Hearth,Color Way,AD159-3,,"flower, flora, floral, contour, simple",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD159-3_Mystic_Magnolia_HEARTH.jpg,,6.50,Square Foot,1,1,Botanical,Purple,Matte Vinyl,,,,,,,,26,20,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
