websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-25,FM-25,,FM-25,Master,FM-25,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-25_web.jpg,"1,067.86",Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-26,FM-26,,FM-26,Master,FM-26,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-26_web.jpg,946.40,Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-27,FM-27,,FM-27,Master,FM-27,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-27_web.jpg,995.28,Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-28,FM-28,,FM-28,Master,FM-28,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-28_web.jpg,"1,077.52",Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-29,FM-29,,FM-29,Master,FM-29,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-29_web.jpg,"1,094.80",Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-30,FM-30,,FM-30,Master,FM-30,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-30_web.jpg,799.50,Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-31,FM-31,,FM-31,Master,FM-31,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-31_web.jpg,813.80,Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-32,FM-32,,FM-32,Master,FM-32,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-32_web.jpg,946.40,Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-33,FM-33,,FM-33,Master,FM-33,,"metal, metallic, shine, handcrafted",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-33_web.jpg,"1,077.52",Roll,1,1,Textural,Multi,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-34,FM-34,,FM-34,Master,FM-34,,"metal, metallic, shine, handcrafted",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-34_web.jpg,"1,077.52",Roll,1,1,Textural,Multi,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-35,FM-35,,FM-35,Master,FM-35,,"metal, metallic, shine, handcrafted",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-35_web.jpg,"1,057.48",Roll,1,1,Textural,Multi,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
