websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0829,VC0829,VC0829,Master,VC0829,,"trees, tree, aspen, forest, trunk, branches",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0829.jpg,,265.00,Roll,1,1,Botanical,Black and White,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0830,VC0830,VC0830,Master,VC0830,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0830.jpg,,265.00,Roll,1,1,"Damask, Traditional",Black and White,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0831,VC0831,VC0831,Master,VC0831,,"vine, leaf, scroll, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0831.jpg,,265.00,Roll,1,1,Traditional,Black and White,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0832,VC0832,VC0832,Master,VC0832,,"trees, tree",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0832.jpg,,265.00,Roll,1,1,Botanical,Black and White,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0833,VC0833,VC0833,Master,VC0833,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0833.jpg,,265.00,Roll,1,1,"Damask, Traditional","Gold, Black",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0834,VC0834,VC0834,Master,VC0834,,"link, chain, chainlink, chain link, square, trellis",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0834.jpg,,265.00,Roll,1,1,Geometric,"Gold, White",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0835,VC0835,VC0835,Master,VC0835,,"trees, tree",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0835.jpg,,265.00,Roll,1,1,"Damask, Traditional","Black, Gold",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0836,VC0836,VC0836,Master,VC0836,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0836.jpg,,265.00,Roll,1,1,"Damask, Traditional","Silver, White",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0837,VC0837,VC0837,Master,VC0837,,"link, chain, chainlink, chain link, square, trellis",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0837.jpg,,265.00,Roll,1,1,Geometric,"Silver, White",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0838,VC0838,VC0838,Master,VC0838,,"trees, tree, aspen, forest, trunk, branches",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0838.jpg,,265.00,Roll,1,1,Botanical,"Silver, White",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0839,VC0839,VC0839,Master,VC0839,,"trees, tree",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0839.jpg,,265.00,Roll,1,1,Botanical,"Silver, White",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0840,VC0840,VC0840,Master,VC0840,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0840.jpg,,265.00,Roll,1,1,"Damask, Traditional","Blue, Silver",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0841,VC0841,VC0841,Master,VC0841,,"circle, square, retro, mod",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0841.jpg,,265.00,Roll,1,1,"Retro + Vintage, Geometric","Blue, Silver",,Paper,30,15,,,,,,30,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0842,VC0842,VC0842,Master,VC0842,,"bird, deer, damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0842.jpg,,265.00,Roll,1,1,"Botanical, Animalia, Damask","Blue, Silver",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0843,VC0843,VC0843,Master,VC0843,,"trees, tree, aspen, forest, trunk, branches",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0843.jpg,,265.00,Roll,1,1,Botanical,"Blue, Brown",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0844,VC0844,VC0844,Master,VC0844,,stripe,https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0844.jpg,,265.00,Roll,1,1,Stripes + Plaid,"Blue, Brown",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0845,VC0845,VC0845,Master,VC0845,,"vine, leaf, scroll, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0845.jpg,,265.00,Roll,1,1,Traditional,"Blue, Brown",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0846,VC0846,VC0846,Master,VC0846,,"bird, deer, damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0846.jpg,,265.00,Roll,1,1,"Botanical, Animalia, Damask","Blue, Brown",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0847,VC0847,VC0847,Master,VC0847,,"retro, stripe, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0847.jpg,,265.00,Roll,1,1,"Retro + Vintage, Stripes + Plaid, Geometric","Cream, Blue",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0848,VC0848,VC0848,Master,VC0848,,"bubble, ovals, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0848.jpg,,265.00,Roll,1,1,"Retro + Vintage, Geometric","Cream, Blue",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0849,VC0849,VC0849,Master,VC0849,,"leaf, toile, damask, vine, leaves, vines, flower, flowers",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0849.jpg,,265.00,Roll,1,1,"Damask, Botanical","Cream, Blue",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0850,VC0850,VC0850,Master,VC0850,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0850.jpg,,265.00,Roll,1,1,"Traditional, Damask","Cream, White",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0851,VC0851,VC0851,Master,VC0851,,stripe,https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0851.jpg,,265.00,Roll,1,1,Stripes + Plaid,"Cream, White",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0852,VC0852,VC0852,Master,VC0852,,"link, chain, chainlink, chain link, square, trellis",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0852.jpg,,265.00,Roll,1,1,Geometric,"Cream, White",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0853,VC0853,VC0853,Master,VC0853,,"bird, deer, damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0853.jpg,,265.00,Roll,1,1,"Damaks, Animalia, Botanical","Cream, White",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0854,VC0854,VC0854,Master,VC0854,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0854.jpg,,265.00,Roll,1,1,"Traditional, Damask",Black and White,,Paper,30,15,,,,,,39,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0855,VC0855,VC0855,Master,VC0855,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0855.jpg,,265.00,Roll,1,1,"Traditional, Damask",Purple,,Paper,30,15,,,,,,39,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0856,VC0856,VC0856,Master,VC0856,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0856.jpg,,265.00,Roll,1,1,"Tradional, Damask",Red,,Paper,30,15,,,,,,39,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0857,VC0857,VC0857,Master,VC0857,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0857.jpg,,265.00,Roll,1,1,"Damask, Traditional",Gold,,Paper,30,15,,,,,,39,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0858,VC0858,VC0858,Master,VC0858,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0858.jpg,,265.00,Roll,1,1,"Damask, Traditional",Black,,Paper,30,15,,,,,,39,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0859,VC0859,VC0859,Master,VC0859,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0859.jpg,,265.00,Roll,1,1,"Damak, Traditional","Cream, White",,Paper,30,15,,,,,,39,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
