websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Featured Designers,Fliepaper,Rose 2,FP118,Gray,Color Way,FP118-1,,"photographic, floral, nature, botanical",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP118-1_Rose_2_GRAY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP117-1_Dragonfly_DRAGONFLY_install.jpg,7.00,Square Foot,1,1,Photographic,Grey,Matte Vinyl,,,,,,52,96,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Rose 2,FP118,Orange,Color Way,FP118-2,,"photographic, floral, nature, botanical",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP118-2_Rose_2_ORANGE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP118-1_Rose_2_GRAY_install.jpg,7.00,Square Foot,1,1,Photographic,Orange,Matte Vinyl,,,,,,52,96,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,White Star,FP119,Green,Color Way,FP119-1,,"photographic, floral, nature, botanical",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP119-1_White_Star_GREEN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP118-2_Rose_2_ORANGE_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical",Green,Matte Vinyl,,,,,,52,96,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,White Star,FP119,Blue,Color Way,FP119-2,,"photographic, floral, nature, botanical",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP119-2_White_Star_BLUE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP119-1_White_Star_GREEN_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical",Blue,Matte Vinyl,,,,,,51,95,Straight,52,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Starburst Succulent,FP120,Camo,Master,FP120-1,,"photographic, nature, botanical",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP120-1_Starburst_Succulent_STARBURSTSUCCULENT.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP119-2_White_Star_BLUE_install.jpg,7.00,Square Foot,1,1,Photographic,Green,Matte Vinyl,,,,,,52,96,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Fliepaper,Gerberas,FP121,Metallic,Master,FP121-1,,"photographic, floral, nature, botanical",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP121-1_Gerberas_METALLIC.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP120-1_Starburst_Succulent_STARBURSTSUCCULENT_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical",Grey,Silver Mylar,,,,,,17.3,16,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Sand Dollar,FP122,Indigo,Master,FP122-1,,"photographic, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP122-1_Sand_Dollar_BLUE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP121-1_Gerberas_METALLIC_install.jpg,7.00,Square Foot,1,1,Photographic,Blue,Matte Vinyl,,,,,,52,96,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Hibiscus,FP123,Red,Master,FP123-1,,"photographic, floral, nature, botanical",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP123-1_Hibiscus_HIBISCUS.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP122-1_Sand_Dollar_BLUE_install.jpg,7.00,Square Foot,1,1,"Photographic, Botanical",Red,Matte Vinyl,,,,,,52,96,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Deepwell,FP124,Gray,Master,FP124-1,,"photographic, contemporary, modern, architectural",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP124-1_Deepwell_DEEPWELL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP123-1_Hibiscus_HIBISCUS_install.jpg,7.00,Square Foot,1,1,Photographic,Grey,Sonora,,,,,,26,26,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Indian Canyon,FP125,Adobe,Master,FP125-1,,"photographic, contemporary, modern, architectural",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP125-1_Indian_Canyon_INDIANCANYON.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP124-1_Deepwell_DEEPWELL_install.jpg,7.00,Square Foot,1,1,Photographic,Grey,Matte Vinyl,,,,,,26,30,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Wexler,FP126,Gray,Master,FP126-1,,"photographic, nature, rock, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP126-1_Wexler_WEXLER.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP125-1_Indian_Canyon_INDIANCANYON_install.jpg,7.00,Square Foot,1,1,Photographic,Grey,White Mylar,,,,,,52,96,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Joshua Tree,FP127,Gray,Master,FP127-1,,"photographic, contemporary, modern, architectural",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP127-1_Joshua_Tree_JOSHUATREE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP126-1_Wexler_WEXLER_install.jpg,7.00,Square Foot,1,1,Photographic,Grey,Matte Vinyl,,,,,,26,36,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Fliepaper,Agave,FP128,Green,Master,FP128-1,,"photographic, botanical, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP128-1_Agave_GREEN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP127-1_Joshua_Tree_JOSHUATREE_install.jpg,7.00,Square Foot,1,1,Photographic,Green,Silver Mylar,,,,,,52,96,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Araby,FP129,Gray,Master,FP129-1,,"photographic, contemporary, modern, architectural",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP129-1_Araby_ARABY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP128-1_Agave_GREEN_install.jpg,7.00,Square Foot,1,1,Photographic,Grey,Sonora,,,,,,26,26,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Sunmor,FP130,Gray,Master,FP130-1,,"photographic, contemporary, modern, architectural",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP130-1_Sunmor_SUNMOR.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP129-1_Araby_ARABY_install.jpg,7.00,Square Foot,1,1,Photographic,Grey,Matte Vinyl,,,,,,52,72,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Fliepaper,Swim,FP131,Cobalt,Master,FP131-1,,"photographic, abstract, water",https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP131-1_Swim_SWIM.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Fliepaper/FP131-1_Swim_SWIM_install.jpg,7.00,Square Foot,1,1,"Photographic, Contemporary",Blue,Matte Vinyl,,,,,,52,72,Straight,53,0.1,,,,,Class A,Digital Print,Untrimmed,Yes
