sku,weight
FP107-1,0.15
FP108-1,0.15
FP109-1,0.15
FP109-2,0.15
FP109-3,0.15
FP110-1,0.15
FP111-1,0.15
FP112-1,0.15
FP113-1,0.15
FP114-1,0.15
FP115-1,0.15
FP116-1,0.15
FP117-1,0.15
FP118-1,0.15
FP118-2,0.15
FP119-1,0.15
FP119-2,0.15
FP120-1,0.15
FP121-1,0.15
FP122-1,0.15
FP123-1,0.15
FP124-1,0.15
FP125-1,0.15
FP126-1,0.15
FP127-1,0.15
FP128-1,0.15
FP129-1,0.15
FP130-1,0.15
FP131-1,0.15
FP132-1,0.15
FP133-1,0.15
FP146-1,0.15
FP147-1,0.15
FP148-1,0.15
FP149-1,0.15
FP150-1,0.15
FP151-1,0.15
FP152-1,0.15
FP153-1,0.15
FP175-1,0.15
FP176-1,0.15
FP177-1,0.15
FP178-1,0.15
FP179-1,0.15
FP180-1,0.15
AD396-1,0.15
AD396-2,0.15
AD396-3,0.15
AD397-1,0.15
AD397-2,0.15
AD397-3,0.15
AD398-1,0.16
AD398-2,0.16
AD398-3,0.16
AD399-1,0.15
AD399-2,0.15
AD399-3,0.15
AD400-1,0.16
AD400-2,0.16
AD400-3,0.16
AD401-1,0.15
AD401-2,0.15
AD401-3,0.15
AD402-1,0.15
AD402-2,0.15
AD402-3,0.15
AD403-1,0.15
AD403-2,0.15
AD403-3,0.15
AD404-1,0.15
AD404-2,0.15
AD404-3,0.15
AD405-1,0.15
AD405-2,0.15
AD405-3,0.15
AD457-1,0.15
AD457-2,0.15
AD457-3,0.15
AD458-1,0.15
AD458-2,0.15
AD458-3,0.15
AD459-1,0.15
AD459-2,0.15
AD459-3,0.15
AD460-1,0.15
AD460-2,0.15
AD460-3,0.15
AD461-1,0.16
AD461-2,0.16
AD461-3,0.16
AD462-1,0.15
AD462-2,0.15
AD462-3,0.15
AD463-1,0.15
AD463-2,0.15
AD463-3,0.15
AD464-1,0.15
AD464-2,0.15
AD464-3,0.15
AD309-1,0.15
AD309-2,0.15
AD309-3,0.15
AD310-1,0.15
AD310-2,0.15
AD310-3,0.15
AD311-1,0.16
AD311-2,0.16
AD311-3,0.16
AD312-1,0.15
AD312-2,0.15
AD312-3,0.15
AD313-1,0.16
AD313-2,0.16
AD313-3,0.16
AD314-1,0.16
AD314-2,0.16
AD314-3,0.16
AD315-1,0.16
AD315-2,0.16
AD315-3,0.16
AD316-1,0.15
AD316-2,0.15
AD316-3,0.15
AD317-1,0.15
AD317-2,0.15
AD317-3,0.15
AD318-1,0.15
AD318-2,0.15
AD318-3,0.15
AD319-1,0.15
AD319-2,0.15
AD319-3,0.15
AD320-1,0.16
AD320-2,0.16
AD320-3,0.16
FP134-1,0.16
FP135-1,0.16
FP136-1,0.16
FP137-1,0.16
FP138-1,0.16
FP139-1,0.16
FP140-1,0.16
FP141-1,0.16
FP142-1,0.16
FP143-1,0.16
FP144-1,0.16
FP145-1,0.16
FP154-1,0.16
FP155-1,0.16
FP156-1,0.16
FP157-1,0.16
FP158-1,0.16
FP159-1,0.16
FP160-1,0.16
FP161-1,0.16
FP162-1,0.16
FP163-1,0.16
FP164-1,0.16
FP165-1,0.16
FP166-1,0.16
FP167-1,0.16
FP168-1,0.16
FP169-1,0.16
FP170-1,0.16
FP171-1,0.16
FP172-1,0.16
FP173-1,0.16
FP174-1,0.16
AD600-1,0.1
AD601-1,0.12
AD602-1,0.1
AD603-1,0.1
AD604-1,0.1
AD605-1,0.1
AD606-1,0.1
AD607-1,0.1
AD608-1,0.1
AD609-1,0.1
AD610-1,0.1
AD611-1,0.1
AD612-1,0.1
AD613-1,0.1
AD614-1,0.12
AD615-1,0.1
AD616-1,0.1
AD617-1,0.1
AD618-1,0.1
AD619-1,0.1
AD620-1,0.1
AD621-1,0.1
SL100,0.15
SL101,0.15
SL102,0.15
SL103,0.15
SL104,0.15
SL105,0.15
SL106,0.15
SL107,0.15
SL108,0.15
SL109,0.15
SL110,0.15
SL111,0.15
SL112,0.15
SL113,0.15
SL114,0.15
SL115,0.15
SL116,0.15
SL117,0.15
SL118,0.15
SL119,0.15
SL120,0.15
SL121,0.15
SL122,0.15
SL123,0.15
SL124,0.15
