sku,image_url
AD418-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD418-2_Twigs_%2B_Flowers_SPRIG_install.jpg
AD418-3,
AD431-1,
AD431-2,
AD431-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD431-3_Ethereal_COIL_install.jpg
AD432-1,
AD432-2,
AD432-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD432-3_Amphora_GRAPHITE_install.jpg
AD433-1,
AD433-2,
AD433-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD433-3_Alocasia_TROPIC_install.jpg
AD434-1,
AD434-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD434-2_American_Beauty_FROLIC_install.jpg
AD434-3,
AD435-1,
AD435-2,
AD435-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD435-3_Zelda_TITAN_install.jpg
AD436-1,
AD436-2,
AD436-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD436-3_Peony_Pop_TRAIL_install.jpg
AD437-1,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD437-1_Treasure_Island_DREAMY_install.jpg
AD437-2,
AD437-3,
AD438-1,
AD438-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD438-2_Obscura_MIDSUMMER_install.jpg
AD438-3,
AD439-1,
AD439-2,
AD439-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD439-3_Bahama_Mama_SUMMERNIGHT_install.jpg
AD440-1,
AD440-2,
AD440-3,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD440-3_Bustle_TREK_install.jpg
AD442-1,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD442-1_Tropicali_CAMO_install.jpg
AD442-2,
AD442-3,
AD455-1,
AD455-2,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD455-2_Twitterpated_MEADOW_install.jpg
AD455-3,
