design_sku,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
SN259,148.50,Roll,1,1,36,8,,,,,,,,,14
SN260,148.50,Roll,1,1,36,8,,,,,,,,,14
SN261,182.25,Roll,1,1,36,8,,,,,,,,,14
SN262,155.25,Roll,1,1,36,8,,,,,,,,,14
SN263,139.05,Roll,1,1,36,8,,,,,,,,,14
SN264,93.15,Roll,1,1,36,8,,,,,,,,,14
SN265,189.00,Roll,1,1,36,8,,,,,,,,,14
SN266,372.60,Roll,1,1,36,8,,,,,,,,,14
SN267,201.15,Roll,1,1,36,8,,,,,,,,,14
SN268,255.83,Roll,1,1,36,8,,,,,,,,,14
SN269,139.05,Roll,1,1,36,8,,,,,,,,,14
SN270,93.15,Roll,1,1,36,8,,,,,,,,,14
SN271,83.70,Roll,1,1,36,8,,,,,,,,,14
SN272,201.15,Roll,1,1,36,8,,,,,,,,,14
SN273,155.25,Roll,1,1,36,8,,,,,,,,,14
SN274,148.50,Roll,1,1,36,8,,,,,,,,,14
SN275,106.65,Roll,1,1,36,8,,,,,,,,,14
SN276,93.15,Roll,1,1,36,8,,,,,,,,,14
SN277,83.70,Roll,1,1,36,8,,,,,,,,,14
SN278,93.15,Roll,1,1,36,8,,,,,,,,,14
SN279,201.15,Roll,1,1,36,8,,,,,,,,,14
