design_sku,roll_length_feet
2836-M1385,33
2836-M1386,33
2836-MKE-3110,33
2836-MKE-3131,33
WV1750,33
WV1751,33
WV1752,33
WV1753,33
WV1754,33
WV1755,33
WV1756,33
WV1757,33
WV1758,33
WV1759,33
WV1760,33
WV1761,33
WV1762,33
WV1763,33
WV1764,33
WV1765,33
WV1766,33
WV1767,33
WV1768,33
WV1769,33
WV1770,33
WV1771,33
WV1772,33
WV1773,33
WV1774,33
WV1775,33
WV1776,33
WV1777,33
WV1778,33
WV1779,33
WV1780,33
WV1781,33
WV1782,33
WV1783,33
WV1784,33
WV1785,33
WV1786,33
WV1787,33
WV1788,33
WV1789,33
WV1791,32.8
WV1792,32.8
2540-20416,33
2540-24000,33
2540-24001,33
2540-24002,33
2540-24003,33
2540-24004,33
2540-24005,33
2540-24006,33
2540-24007,33
2540-24008,33
2540-24009,33
2540-24010,33
2540-24012,33
2540-24013,33
2540-24014,33
2540-24015,33
2540-24016,33
2540-24017,33
2540-24018,33
2540-24019,33
2540-24021,33
2540-24022,33
2540-24023,33
2540-24024,33
2540-24025,33
2540-24026,33
2540-24027,33
2540-24028,33
2540-24029,33
2540-24030,33
2540-24031,33
2540-24032,33
2540-24033,33
2540-24034,33
2540-24035,33
2540-24037,33
2540-24038,33
2540-24039,33
2540-24040,33
2540-24041,33
2540-24042,33
2540-24043,33
2540-24044,33
2540-24045,33
2540-24046,33
2540-24047,33
2540-24048,33
2540-24049,33
2540-24050,33
2540-24051,33
2540-24052,33
2540-24053,33
2540-24054,33
2540-24055,33
2540-24056,33
2540-24057,33
2540-24058,33
2540-24059,33
2540-24060,33
2540-24061,33
2540-24062,33
2540-24063,33
2540-24064,33
2540-24065,33
2540-24066,33
2540-24067,33
2773-400267,33
2773-400274,33
2773-400533,33
2773-400540,33
2773-400564,33
2773-406658,33
2773-406665,33
2773-406689,33
2773-448610,33
2773-448634,33
2773-449020,33
2773-449556,33
2773-449563,33
2773-449570,33
2773-449600,33
2773-449624,33
2773-449631,33
2773-449815,33
2773-449853,33
2773-455922,33
2773-514407,33
2773-587203,33
2773-605419,33
2773-605433,33
2773-605907,33
2773-605921,33
2773-605945,33
2773-606638,33
2773-606690,33
2773-614312,33
2773-614329,33
2773-701128,33
2773-701135,33
2773-701159,33
2773-702118,33
2773-702125,33
2773-754001,33
2773-755305,33
2773-758733,33
2773-795103,33
2773-795127,33
2773-795134,33
2773-850109,33
2773-859119,33
2773-859126,33
2773-886702,33
2773-886719,33
2773-886726,33
2773-928341,33
2773-928358,33
2773-928365,33
2773-928457,33
2773-928464,33
2773-928471,33
2773-934601,33
2773-937503,33
2773-938401,33
3114-003301,33
3114-003302,33
3114-003303,33
3114-003304,33
3114-003306,33
3114-003307,33
3114-003308,33
3114-003309,33
3114-003311,33
3114-003313,33
3114-003315,33
3114-003316,33
3114-003319,33
3114-003320,33
3114-003321,33
3114-003322,33
3114-003324,33
3114-003325,33
3114-003326,33
3114-003327,33
3114-003329,33
3114-003330,33
3114-003331,33
3114-003332,33
3114-003334,33
3114-003335,33
3114-003336,33
3114-003337,33
3114-003338,33
3114-003339,33
3114-003340,33
3114-003341,33
3114-003347,33
3114-003350,33
3114-003351,33
3114-003352,33
3114-003353,33
3114-003355,33
3114-003356,33
3114-003357,33
3114-003361,33
3114-003362,33
3114-003363,33
3114-003364,33
3114-003365,33
3114-003369,33
3114-003370,33
3114-003371,33
3114-003373,33
3114-003374,33
3114-003375,33
3114-003377,33
3114-003378,33
3114-003379,33
3114-003380,33
3114-003381,33
3114-003383,33
3114-003384,33
3114-003385,33
3114-003386,33
3114-003388,33
3114-003389,33
3114-003390,33
3114-003391,33
3114-003392,33
3114-003393,33
3114-003394,33
3114-003395,33
2782-1450,33
2782-1452,33
2782-1471,33
2782-1472,33
2782-1473,33
2782-1478,33
2782-1480,33
2782-1757,33
2782-1762,33
2782-1763,33
2782-1765,33
2782-20711,33
2782-20739,33
2782-21362,33
2782-21363,33
2782-24500,33
2782-24501,33
2782-24504,33
2782-24505,33
2782-24506,33
2782-24507,33
2782-24509,33
2782-24510,33
2782-24511,33
2782-24512,33
2782-24513,33
2782-24514,33
2782-24515,33
2782-24516,33
2782-24517,33
2782-24518,33
2782-24520,33
2782-24521,33
2782-24522,33
2782-24523,33
2782-24525,33
2782-24526,33
2782-24530,33
2782-24531,33
2782-24532,33
2782-24533,33
2782-24534,33
2782-24535,33
2782-24540,33
2782-24541,33
2782-24542,33
2782-24543,33
2782-24544,33
2782-24545,33
2782-24546,33
2782-24547,33
2782-24548,33
2782-24549,33
2782-24550,33
2782-24551,33
2782-24552,33
2782-24553,33
2782-24554,33
2782-24555,33
2782-24556,33
2782-24557,33
2782-24558,33
2782-24559,33
2782-24560,33
2782-24561,33
2765-BW40101,27
2765-BW40102,27
2765-BW40105,27
2765-BW40108,27
2765-BW40204,27
2765-BW40205,27
2765-BW40207,27
2765-BW40208,27
2765-BW40300,27
2765-BW40302,27
2765-BW40305,27
2765-BW40308,27
2765-BW40404,27
2765-BW40405,27
2765-BW40406,27
2765-BW40408,27
2765-BW40502,27
2765-BW40505,27
2765-BW40507,27
2765-BW40508,27
2765-BW40601,27
2765-BW40602,27
2765-BW40605,27
2765-BW40606,27
2765-BW40607,27
2765-BW40608,27
2765-BW40612,27
2765-BW40615,27
2765-BW40618,27
2765-BW40701,27
2765-BW40704,27
2765-BW40705,27
2765-BW40706,27
2765-BW40707,27
2765-BW40708,27
2765-BW40709,27
2765-BW40715,27
2765-BW40800,27
2765-BW40802,27
2765-BW40804,27
2765-BW40805,27
2765-BW40806,27
2765-BW40807,27
2765-BW40808,27
2765-BW40809,27
2765-BW40810,27
2765-BW40812,27
2765-BW40815,27
2765-BW40825,27
2765-BW40902,27
2765-BW40904,27
2765-BW40905,27
2765-BW40906,27
2765-BW40908,27
2765-BW40914,27
2765-BW40915,27
2765-BW40916,27
2765-BW41001,27
2765-BW41002,27
2765-BW41004,27
2765-BW41005,27
2765-BW41006,27
2765-BW41007,27
2765-BW41008,27
2765-BW41009,27
2765-BW41011,27
2765-BW41014,27
2765-BW41015,27
2697-22620,33
2697-22621,33
2697-22622,33
2697-22623,33
2697-22624,33
2697-22625,33
2697-22626,33
2697-22627,33
2697-22628,33
2697-22629,33
2697-22633,33
2697-22634,33
2697-22635,33
2697-22636,33
2697-22637,33
2697-22638,33
2697-22639,33
2697-22640,33
2697-22641,33
2697-22642,33
2697-22644,33
2697-22645,33
2697-22647,33
2697-22648,33
2697-22649,33
2697-22650,33
2697-22651,33
2697-22652,33
2697-22653,33
2697-22654,33
2697-78001,33
2697-78002,33
2697-78003,33
2697-78004,33
2697-78005,33
2697-78011,33
2697-78012,33
2697-78013,33
2697-78014,33
2697-78015,33
2697-78021,33
2697-78022,33
2697-78023,33
2697-78024,33
2697-78025,33
2697-78031,33
2697-78032,33
2697-78033,33
2697-78034,33
2697-78035,33
2697-78041,33
2697-78042,33
2697-78043,33
2697-78044,33
2697-78051,33
2697-78052,33
2697-78053,33
2697-78054,33
2697-78061,33
2697-78062,33
2697-78063,33
2697-78071,33
2697-78072,33
2697-78073,33
2697-78074,33
2697-87301,33
2697-87302,33
2697-87303,33
2697-87304,33
2809-87700,33
2809-87701,33
2809-87702,33
2809-87703,33
2809-87704,33
2809-87705,33
2809-87706,33
2809-87707,33
2809-87708,33
2809-87709,33
2809-87710,33
2809-87711,33
2809-87712,33
2809-87713,33
2809-87714,33
2809-IH18001,33
2809-IH18003,33
2809-IH18004,33
2809-IH18006,33
2809-IH18007,33
2809-IH18101,33
2809-IH18106,33
2809-IH18107,33
2809-IH18401A,33
2809-IH18403A,33
2809-IH18404A,33
2809-IH18406A,33
2809-IH20000,33
2809-IH20004,33
2809-IH20005,33
2809-IH20007,33
2809-IH20012,33
2809-IH20014,33
2809-IH20015,33
2809-IH20017,33
2809-IH20040,33
2809-IH20041,33
2809-IH20042,33
2809-IH20043,33
2809-IH20108,33
2809-LH01603,33
2809-LH01626,33
2809-LH01629,33
2809-LH01634,33
2809-SH01061,33
2809-SH01062,33
2809-SH01063,33
2809-SH01067,33
2809-SH01068,33
2809-SH01101,33
2809-SH01103,33
2809-SH01104,33
2809-SH01105,33
2809-SH01201,33
2809-SH01220,33
